true_label,pred_set,pred_set_names,set_size,cloud_coverage
19,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 19, 20, 22]","['Non-ship', 'Aircraft carrier', 'Submarine', 'Auxiliary ship', 'Container ship', 'Car carrier', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Landing craft', 'Frigate', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Command ship']",17,0.6854
19,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.3038
11,"[0, 4, 5, 9, 10, 11, 15, 17, 22]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Barge', 'Frigate', 'Command ship']",9,0.3022
5,"[5, 9, 10, 13]","['Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Passenger ship']",4,0.1992
14,[14],['Liquefied gas ship'],1,0.2152
1,[1],['Aircraft carrier'],1,0.0508
4,"[0, 2, 4, 5, 9, 10, 16, 18]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Landing craft', 'Amphibious transport dock']",8,0.1799
8,"[0, 5, 7, 8, 9, 10, 13]","['Non-ship', 'Auxiliary ship', 'Car carrier', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Passenger ship']",7,0.0583
18,"[16, 18, 21]","['Landing craft', 'Amphibious transport dock', 'Amphibious assault ship']",3,0.343
2,"[2, 4, 5]","['Submarine', 'Combat boat', 'Auxiliary ship']",3,0.1976
5,"[4, 5, 8, 10]","['Combat boat', 'Auxiliary ship', 'Hovercraft', 'Oil tanker']",4,0.1625
0,"[0, 4, 5, 9, 13]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Passenger ship']",5,0.1887
18,[18],['Amphibious transport dock'],1,0.1231
20,"[12, 16, 20]","['Destroyer', 'Landing craft', 'Tarawa-class amphibious assault ship']",3,0.1174
10,"[0, 2, 5, 10, 12, 22]","['Non-ship', 'Submarine', 'Auxiliary ship', 'Oil tanker', 'Destroyer', 'Command ship']",6,0.21
19,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.1284
0,"[0, 4, 5, 9, 10, 11, 13]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship']",7,0.0864
20,"[16, 20]","['Landing craft', 'Tarawa-class amphibious assault ship']",2,0.1849
9,[5],['Auxiliary ship'],1,0.0864
9,"[5, 6, 7, 9, 10, 13, 18, 20]","['Auxiliary ship', 'Container ship', 'Car carrier', 'Bulk carrier', 'Oil tanker', 'Passenger ship', 'Amphibious transport dock', 'Tarawa-class amphibious assault ship']",8,0.2968
5,"[5, 8, 10, 13]","['Auxiliary ship', 'Hovercraft', 'Oil tanker', 'Passenger ship']",4,0.4022
2,[2],['Submarine'],1,0.0607
0,"[12, 13, 14]","['Destroyer', 'Passenger ship', 'Liquefied gas ship']",3,0.1764
5,"[0, 2, 4, 5, 8, 9, 10, 11, 12, 14, 15, 17, 18]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Liquefied gas ship', 'Barge', 'Frigate', 'Amphibious transport dock']",13,0.5528
10,"[6, 8, 9, 10, 13, 20, 22]","['Container ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Passenger ship', 'Tarawa-class amphibious assault ship', 'Command ship']",7,0.454
4,"[0, 2, 4, 5, 9, 10, 14]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Liquefied gas ship']",7,0.3676
17,"[17, 19]","['Frigate', 'Cruiser']",2,0.1151
0,"[0, 6, 9, 13]","['Non-ship', 'Container ship', 'Bulk carrier', 'Passenger ship']",4,0.0561
0,"[0, 2, 4, 5, 13]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Passenger ship']",5,0.1487
5,"[0, 5, 7, 12]","['Non-ship', 'Auxiliary ship', 'Car carrier', 'Destroyer']",4,0.5262
21,"[12, 19, 21]","['Destroyer', 'Cruiser', 'Amphibious assault ship']",3,0.2048
20,[20],['Tarawa-class amphibious assault ship'],1,0.0473
4,"[4, 5]","['Combat boat', 'Auxiliary ship']",2,0.2196
7,[7],['Car carrier'],1,0.2659
10,"[0, 5, 8, 9, 10, 11, 13, 22]","['Non-ship', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship', 'Command ship']",8,0.1099
12,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.5427
4,"[0, 2, 4, 5, 6, 9, 10, 12, 14, 17]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Container ship', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Liquefied gas ship', 'Frigate']",10,0.5323
8,"[5, 7, 8, 10]","['Auxiliary ship', 'Car carrier', 'Hovercraft', 'Oil tanker']",4,0.0556
18,"[0, 5, 12, 13, 14, 16, 17, 18, 19, 20, 22]","['Non-ship', 'Auxiliary ship', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Command ship']",11,0.1294
1,"[1, 21]","['Aircraft carrier', 'Amphibious assault ship']",2,0.11
9,"[5, 7, 9, 12, 18]","['Auxiliary ship', 'Car carrier', 'Bulk carrier', 'Destroyer', 'Amphibious transport dock']",5,0.3774
19,"[6, 9, 12, 19]","['Container ship', 'Bulk carrier', 'Destroyer', 'Cruiser']",4,0.1129
7,"[7, 9, 13]","['Car carrier', 'Bulk carrier', 'Passenger ship']",3,0.055
19,"[12, 16, 17, 19, 22]","['Destroyer', 'Landing craft', 'Frigate', 'Cruiser', 'Command ship']",5,0.3586
9,"[0, 4, 5, 9, 10, 11]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat']",6,0.0442
0,"[0, 2, 5, 9, 10, 12, 13, 17, 19]","['Non-ship', 'Submarine', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Passenger ship', 'Frigate', 'Cruiser']",9,0.0785
2,"[0, 2, 5, 9, 12, 16, 20]","['Non-ship', 'Submarine', 'Auxiliary ship', 'Bulk carrier', 'Destroyer', 'Landing craft', 'Tarawa-class amphibious assault ship']",7,0.0972
8,[8],['Hovercraft'],1,0.0683
5,"[0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20]","['Non-ship', 'Aircraft carrier', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Container ship', 'Car carrier', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship']",17,0.5411
12,"[2, 5, 12, 18]","['Submarine', 'Auxiliary ship', 'Destroyer', 'Amphibious transport dock']",4,0.0999
11,"[0, 4, 5, 9, 10, 11, 13, 20]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship', 'Tarawa-class amphibious assault ship']",8,0.0623
13,"[0, 4, 5, 13]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Passenger ship']",4,0.2005
0,"[0, 1, 6, 7, 9, 18]","['Non-ship', 'Aircraft carrier', 'Container ship', 'Car carrier', 'Bulk carrier', 'Amphibious transport dock']",6,0.0617
17,"[12, 17]","['Destroyer', 'Frigate']",2,0.0126
2,"[2, 5, 13]","['Submarine', 'Auxiliary ship', 'Passenger ship']",3,0.2145
0,"[0, 4, 5, 10, 11, 14]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Oil tanker', 'Fishing boat', 'Liquefied gas ship']",6,0.1096
0,[0],['Non-ship'],1,0.211
10,"[0, 4, 5, 9, 10, 11, 13]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship']",7,0.1104
12,"[12, 16, 17]","['Destroyer', 'Landing craft', 'Frigate']",3,0.1341
9,"[6, 7, 9, 12, 13, 14, 15, 19, 20]","['Container ship', 'Car carrier', 'Bulk carrier', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Barge', 'Cruiser', 'Tarawa-class amphibious assault ship']",9,0.1109
19,"[1, 7, 10, 12, 14, 15, 17, 19, 20, 21, 22]","['Aircraft carrier', 'Car carrier', 'Oil tanker', 'Destroyer', 'Liquefied gas ship', 'Barge', 'Frigate', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship', 'Command ship']",11,0.5435
12,"[2, 10, 12, 14, 16, 17, 19, 21, 22]","['Submarine', 'Oil tanker', 'Destroyer', 'Liquefied gas ship', 'Landing craft', 'Frigate', 'Cruiser', 'Amphibious assault ship', 'Command ship']",9,0.1316
2,[2],['Submarine'],1,0.3245
22,"[7, 12, 16, 17, 18, 20, 21, 22]","['Car carrier', 'Destroyer', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship', 'Command ship']",8,0.1221
22,"[12, 14, 16, 17, 18, 19, 22]","['Destroyer', 'Liquefied gas ship', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Command ship']",7,0.3009
12,"[2, 5, 12, 17, 19]","['Submarine', 'Auxiliary ship', 'Destroyer', 'Frigate', 'Cruiser']",5,0.0699
12,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.307
19,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.2791
0,"[0, 5, 8, 9, 10, 11, 13]","['Non-ship', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship']",7,0.4052
12,"[2, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22]","['Submarine', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship', 'Command ship']",14,0.25
12,"[12, 17]","['Destroyer', 'Frigate']",2,0.0556
11,"[0, 4, 5, 9, 10, 11, 14, 15, 17]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Liquefied gas ship', 'Barge', 'Frigate']",9,0.5023
8,[8],['Hovercraft'],1,0.1584
9,"[1, 5, 7, 9, 10, 12, 14, 15, 17, 18, 19]","['Aircraft carrier', 'Auxiliary ship', 'Car carrier', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Liquefied gas ship', 'Barge', 'Frigate', 'Amphibious transport dock', 'Cruiser']",11,0.5714
9,[9],['Bulk carrier'],1,0.0991
10,[10],['Oil tanker'],1,0.1184
9,"[9, 12]","['Bulk carrier', 'Destroyer']",2,0.0906
17,"[12, 17]","['Destroyer', 'Frigate']",2,0.1245
0,"[0, 2, 4, 5, 8, 9, 10, 13, 14, 15]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Passenger ship', 'Liquefied gas ship', 'Barge']",10,0.6497
1,"[1, 2, 6]","['Aircraft carrier', 'Submarine', 'Container ship']",3,0.6436
0,"[0, 5, 7, 9, 10]","['Non-ship', 'Auxiliary ship', 'Car carrier', 'Bulk carrier', 'Oil tanker']",5,0.1326
4,"[0, 2, 4, 5, 9, 10, 11, 12, 13, 17]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Frigate']",10,0.0602
12,"[12, 17, 19, 20]","['Destroyer', 'Frigate', 'Cruiser', 'Tarawa-class amphibious assault ship']",4,0.3689
0,"[0, 2, 4, 5, 11, 12, 13]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Fishing boat', 'Destroyer', 'Passenger ship']",7,0.055
12,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.1018
1,"[0, 1, 5, 7, 8, 9, 10, 12, 13, 16, 19, 20, 21, 22]","['Non-ship', 'Aircraft carrier', 'Auxiliary ship', 'Car carrier', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Passenger ship', 'Landing craft', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship', 'Command ship']",14,0.6137
17,"[12, 17]","['Destroyer', 'Frigate']",2,0.3199
6,[6],['Container ship'],1,0.2868
17,"[2, 5, 7, 12, 17, 19, 20, 22]","['Submarine', 'Auxiliary ship', 'Car carrier', 'Destroyer', 'Frigate', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Command ship']",8,0.4133
19,"[12, 14, 16, 17, 19, 20, 22]","['Destroyer', 'Liquefied gas ship', 'Landing craft', 'Frigate', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Command ship']",7,0.4021
2,"[2, 9, 12]","['Submarine', 'Bulk carrier', 'Destroyer']",3,0.0722
19,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.1283
19,"[0, 5, 7, 10, 17, 19]","['Non-ship', 'Auxiliary ship', 'Car carrier', 'Oil tanker', 'Frigate', 'Cruiser']",6,0.1995
12,[12],['Destroyer'],1,0.041
16,"[5, 12, 16]","['Auxiliary ship', 'Destroyer', 'Landing craft']",3,0.0436
2,[2],['Submarine'],1,0.1376
11,"[0, 4, 5, 9, 11, 13]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Fishing boat', 'Passenger ship']",6,0.0573
2,[2],['Submarine'],1,0.0693
19,"[12, 16, 17, 19, 22]","['Destroyer', 'Landing craft', 'Frigate', 'Cruiser', 'Command ship']",5,0.4347
0,"[0, 1, 2, 4, 5, 8, 9, 10, 11, 12, 14, 15, 17, 19]","['Non-ship', 'Aircraft carrier', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Liquefied gas ship', 'Barge', 'Frigate', 'Cruiser']",14,0.6329
5,"[14, 16, 22]","['Liquefied gas ship', 'Landing craft', 'Command ship']",3,0.0935
22,"[1, 12, 16, 17, 18, 19, 20, 21, 22]","['Aircraft carrier', 'Destroyer', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship', 'Command ship']",9,0.4638
21,"[0, 1, 3, 5, 7, 10, 12, 16, 17, 18, 19, 20, 21]","['Non-ship', 'Aircraft carrier', 'Medical ship', 'Auxiliary ship', 'Car carrier', 'Oil tanker', 'Destroyer', 'Landing craft', 'Frigate', 'Amphibious transport dock', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship']",13,0.5218
9,"[5, 9, 10, 11, 13]","['Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship']",5,0.0367
0,"[0, 2, 9]","['Non-ship', 'Submarine', 'Bulk carrier']",3,0.0441
15,"[0, 2, 4, 5, 8, 9, 10, 14, 15]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Liquefied gas ship', 'Barge']",9,0.3801
17,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.2833
17,[17],['Frigate'],1,0.1037
4,"[2, 5]","['Submarine', 'Auxiliary ship']",2,0.3775
0,"[0, 7, 9, 10, 14]","['Non-ship', 'Car carrier', 'Bulk carrier', 'Oil tanker', 'Liquefied gas ship']",5,0.5561
10,"[0, 5, 9, 10]","['Non-ship', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker']",4,0.0891
13,"[0, 2, 5, 11, 13]","['Non-ship', 'Submarine', 'Auxiliary ship', 'Fishing boat', 'Passenger ship']",5,0.6015
4,"[0, 4]","['Non-ship', 'Combat boat']",2,0.0725
9,"[6, 9]","['Container ship', 'Bulk carrier']",2,0.1367
0,"[0, 5, 7, 9, 10, 11]","['Non-ship', 'Auxiliary ship', 'Car carrier', 'Bulk carrier', 'Oil tanker', 'Fishing boat']",6,0.5933
17,"[0, 5, 16, 18]","['Non-ship', 'Auxiliary ship', 'Landing craft', 'Amphibious transport dock']",4,0.0727
16,[16],['Landing craft'],1,0.0368
9,"[5, 9, 10, 11, 12]","['Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer']",5,0.109
0,"[0, 2, 5, 6, 9, 13]","['Non-ship', 'Submarine', 'Auxiliary ship', 'Container ship', 'Bulk carrier', 'Passenger ship']",6,0.0684
2,[2],['Submarine'],1,0.0412
4,"[4, 5, 13]","['Combat boat', 'Auxiliary ship', 'Passenger ship']",3,0.1229
2,"[2, 5, 7, 10, 12, 17]","['Submarine', 'Auxiliary ship', 'Car carrier', 'Oil tanker', 'Destroyer', 'Frigate']",6,0.3279
12,"[12, 17, 19]","['Destroyer', 'Frigate', 'Cruiser']",3,0.1568
0,"[0, 7]","['Non-ship', 'Car carrier']",2,0.0582
17,"[12, 17]","['Destroyer', 'Frigate']",2,0.0543
4,"[0, 4, 5]","['Non-ship', 'Combat boat', 'Auxiliary ship']",3,0.0738
5,"[4, 5, 13]","['Combat boat', 'Auxiliary ship', 'Passenger ship']",3,0.1317
4,[4],['Combat boat'],1,0.0698
8,"[0, 4, 5, 8, 10, 11, 14, 15, 17]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Oil tanker', 'Fishing boat', 'Liquefied gas ship', 'Barge', 'Frigate']",9,0.5972
13,[13],['Passenger ship'],1,0.0706
5,[5],['Auxiliary ship'],1,0.0925
0,"[0, 2, 4, 5, 7, 8, 9, 10, 12, 13, 14, 17, 19, 22]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Car carrier', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Destroyer', 'Passenger ship', 'Liquefied gas ship', 'Frigate', 'Cruiser', 'Command ship']",14,0.5549
5,"[0, 2, 5, 7, 8, 9, 10, 11, 12, 17]","['Non-ship', 'Submarine', 'Auxiliary ship', 'Car carrier', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Frigate']",10,0.2218
8,"[5, 8, 13]","['Auxiliary ship', 'Hovercraft', 'Passenger ship']",3,0.0737
7,"[1, 7, 14, 16, 20, 21]","['Aircraft carrier', 'Car carrier', 'Liquefied gas ship', 'Landing craft', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship']",6,0.3689
5,"[0, 4, 5, 8, 9, 10, 11, 12, 13, 17]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Passenger ship', 'Frigate']",10,0.3831
9,"[0, 2, 5, 8, 9, 10]","['Non-ship', 'Submarine', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker']",6,0.3697
4,"[0, 2, 4, 5, 8, 9, 10, 11, 12, 14, 15, 17, 19]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Destroyer', 'Liquefied gas ship', 'Barge', 'Frigate', 'Cruiser']",13,0.3658
10,[5],['Auxiliary ship'],1,0.0965
21,"[1, 2, 10, 12, 16, 17, 21]","['Aircraft carrier', 'Submarine', 'Oil tanker', 'Destroyer', 'Landing craft', 'Frigate', 'Amphibious assault ship']",7,0.5
10,"[2, 5, 9, 10, 11, 13, 21]","['Submarine', 'Auxiliary ship', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship', 'Amphibious assault ship']",7,0.307
0,"[0, 5]","['Non-ship', 'Auxiliary ship']",2,0.0844
9,"[0, 4, 5, 7, 9, 10, 11, 13, 20]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Car carrier', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Passenger ship', 'Tarawa-class amphibious assault ship']",9,0.2382
21,"[1, 2, 5, 12, 16, 17, 19, 20, 21, 22]","['Aircraft carrier', 'Submarine', 'Auxiliary ship', 'Destroyer', 'Landing craft', 'Frigate', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship', 'Command ship']",10,0.5802
11,"[0, 4, 5, 9, 11, 13]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Bulk carrier', 'Fishing boat', 'Passenger ship']",6,0.1118
12,"[12, 17, 20, 22]","['Destroyer', 'Frigate', 'Tarawa-class amphibious assault ship', 'Command ship']",4,0.0919
1,"[1, 7, 10, 18]","['Aircraft carrier', 'Car carrier', 'Oil tanker', 'Amphibious transport dock']",4,0.112
20,"[12, 16, 19, 20, 22]","['Destroyer', 'Landing craft', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Command ship']",5,0.0926
21,"[1, 12, 16, 17, 19, 20, 21]","['Aircraft carrier', 'Destroyer', 'Landing craft', 'Frigate', 'Cruiser', 'Tarawa-class amphibious assault ship', 'Amphibious assault ship']",7,0.48
0,"[0, 5, 7, 9, 11, 13]","['Non-ship', 'Auxiliary ship', 'Car carrier', 'Bulk carrier', 'Fishing boat', 'Passenger ship']",6,0.2218
8,"[0, 4, 5, 8, 9, 10, 11, 14, 17]","['Non-ship', 'Combat boat', 'Auxiliary ship', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Fishing boat', 'Liquefied gas ship', 'Frigate']",9,0.1481
15,"[9, 10, 11, 14, 15]","['Bulk carrier', 'Oil tanker', 'Fishing boat', 'Liquefied gas ship', 'Barge']",5,0.1041
14,"[10, 14]","['Oil tanker', 'Liquefied gas ship']",2,0.0871
18,[18],['Amphibious transport dock'],1,0.0436
0,"[0, 5, 6, 7, 9, 10, 22]","['Non-ship', 'Auxiliary ship', 'Container ship', 'Car carrier', 'Bulk carrier', 'Oil tanker', 'Command ship']",7,0.061
0,"[0, 2, 4, 8, 9, 10, 14, 15]","['Non-ship', 'Submarine', 'Combat boat', 'Hovercraft', 'Bulk carrier', 'Oil tanker', 'Liquefied gas ship', 'Barge']",8,0.3594
0,"[0, 2, 4, 5, 6, 7, 9, 10, 13, 15, 17]","['Non-ship', 'Submarine', 'Combat boat', 'Auxiliary ship', 'Container ship', 'Car carrier', 'Bulk carrier', 'Oil tanker', 'Passenger ship', 'Barge', 'Frigate']",11,0.6393
12,"[12, 19]","['Destroyer', 'Cruiser']",2,0.0832
