img_path,fine_label,super_label
data\001.Nimitz-class_aircraft_carrier\P1343.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1344.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1347.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1356.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1395.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1435.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1437.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1438.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1444.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1449.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1467.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1480.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1487.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1495.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1497.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1506.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1512.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1532.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1543.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1549.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1561.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1570.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1585.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1596.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1608.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1617.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1620.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1624.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1632.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1644.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1651.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1666.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1683.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1694.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1696.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1708.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1746.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1787.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1789.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1819.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1896.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1897.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1926.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1945.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1950.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P1981.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2019.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2032.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2034.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2050.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2062.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2081.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2097.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2125.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2138.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2170.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2176.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2178.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2190.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2191.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2198.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2204.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2212.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2284.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2297.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2318.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2326.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2333.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2360.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2376.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2379.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2407.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2415.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2429.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2430.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2432.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2500.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2510.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2524.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2528.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2529.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2608.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2637.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2647.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2662.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2666.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2671.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2674.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2698.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2739.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2796.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2832.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2845.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2852.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2855.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2858.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2915.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2938.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2942.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2979.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P2989.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3016.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3019.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3058.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3100.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3114.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3117.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3118.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3126.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3142.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3213.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3289.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3326.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3356.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3361.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3409.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3419.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3429.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3437.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3504.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3554.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3560.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3561.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3562.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3563.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3582.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3612.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3613.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3617.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3632.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3640.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3654.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3657.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3672.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3696.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3707.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3717.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3720.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3727.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3754.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3841.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3852.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3854.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3877.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3880.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3902.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3907.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3922.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3931.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3946.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3962.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3969.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P3976.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4009.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4026.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4028.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4032.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4041.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4048.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4053.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4061.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4066.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4113.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4122.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4129.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4137.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4145.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4179.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4196.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4212.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4216.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4225.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4240.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4242.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4248.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4252.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4275.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4320.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4377.bmp,001.Nimitz-class_aircraft_carrier,Carrier
data\001.Nimitz-class_aircraft_carrier\P4380.bmp,001.Nimitz-class_aircraft_carrier,Carrier
